x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,0,4.74,0,0,34.74,0,0,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
3.35,0,3.35,24.56,0,24.56,45,0,0.56087947,0.56087947,0.56276065,0.55492234,0.54244316,0.52917612,0.51699317
10.33,0,0,40.33,0,0,90,0,0.58198047,0.58198047,0.59888154,0.60526174,0.60504007,0.60205597,0.5986191
7.3,0,-7.3,28.52,0,-28.52,135,0,0.58507043,0.58507043,0.58594412,0.5775317,0.56429905,0.54991388,0.53632218
0,0,-4.74,0,0,-34.74,180,0,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,45,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
2.23,2.23,3.16,17.24,17.24,24.37,45,45,0.54345644,0.54345644,0.53933185,0.52622187,0.50955915,0.49307939,0.47839162
4.04,4.04,0,25.25,25.25,0,90,45,0.56768948,0.56768948,0.56774527,0.55821854,0.54410022,0.52919722,0.51537836
3.15,3.15,-4.46,18.15,18.15,-25.67,135,45,0.58901542,0.58901542,0.58161616,0.56638128,0.54811126,0.53016061,0.51400363
0,0,-4.74,0,0,-34.74,180,45,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,90,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
0,3.22,3.22,0,24.43,24.43,45,90,0.55031914,0.55031914,0.53629071,0.51620817,0.4952369,0.47625944,0.46011117
0,4.39,0,0,34.39,0,90,90,0.534419,0.534419,0.51743412,0.49455544,0.47114706,0.45014071,0.43232632
0,3.22,-3.22,0,24.43,-24.43,135,90,0.53457272,0.53457272,0.51498276,0.49000052,0.46492001,0.44256619,0.4236367
0,0,-4.74,0,0,-34.74,180,90,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,135,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
-3.15,3.15,4.46,-18.15,18.15,25.67,45,135,0.55415654,0.55415654,0.53117692,0.50583774,0.48238349,0.46249297,0.44614092
-4.04,4.04,0,-25.25,25.25,0,90,135,0.53055823,0.53055823,0.50060737,0.47047994,0.44402441,0.42227644,0.40470034
-2.23,2.23,-3.16,-17.24,17.24,-24.37,135,135,0.52968651,0.52968651,0.50150383,0.47167727,0.44465882,0.42204177,0.40360114
0,0,-4.74,0,0,-34.74,180,135,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,180,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
-7.3,0,7.3,-28.52,0,28.52,45,180,0.54827178,0.54827178,0.52068096,0.49322328,0.46927702,0.44967821,0.43388498
-10.33,0,0,-40.33,0,0,90,180,0.56115615,0.56115615,0.52624774,0.49481928,0.46899161,0.4485018,0.43217927
-3.35,0,-3.35,-24.56,0,-24.56,135,180,0.54637814,0.54637814,0.51612669,0.4856281,0.45873559,0.43653241,0.41851908
0,0,-4.74,0,0,-34.74,180,180,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,225,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
-3.15,-3.15,4.46,-18.15,-18.15,25.67,45,225,0.55806422,0.55806422,0.53541666,0.51032847,0.48703054,0.46721822,0.45088992
-4.04,-4.04,0,-25.25,-25.25,0,90,225,0.54599667,0.54599667,0.51666331,0.48693529,0.46062717,0.43883154,0.42108694
-2.23,-2.23,-3.16,-17.24,-17.24,-24.37,135,225,0.52776766,0.52776766,0.49964324,0.4698576,0.44286099,0.42024785,0.40179569
0,0,-4.74,0,0,-34.74,180,225,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,270,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
0,-3.22,3.22,0,-24.43,24.43,45,270,0.54274172,0.54274172,0.52801692,0.50732756,0.48589101,0.4665834,0.45021009
0,-4.39,0,0,-34.39,0,90,270,0.56576753,0.56576753,0.54940724,0.52750021,0.50504965,0.48479423,0.467482
0,-3.22,-3.22,0,-24.43,-24.43,135,270,0.53289157,0.53289157,0.5127787,0.48726806,0.46168181,0.43884844,0.41946045
0,0,-4.74,0,0,-34.74,180,270,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,315,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
2.23,-2.23,3.16,17.24,-17.24,24.37,45,315,0.56235778,0.56235778,0.5585236,0.54607838,0.53020597,0.51448292,0.50045735
4.04,-4.04,0,25.25,-25.25,0,90,315,0.58299822,0.58299822,0.58315355,0.57405621,0.56051856,0.54621059,0.53293437
3.15,-3.15,-4.46,18.15,-18.15,-25.67,135,315,0.58672482,0.58672482,0.57866585,0.56281096,0.54400957,0.52560633,0.50904769
0,0,-4.74,0,0,-34.74,180,315,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
0,0,4.74,0,0,34.74,0,360,0.54754961,0.54754961,0.53431362,0.51499897,0.49474049,0.47641021,0.46084937
3.35,0,3.35,24.56,0,24.56,45,360,0.56087947,0.56087947,0.56276065,0.55492234,0.54244316,0.52917612,0.51699317
10.33,0,0,40.33,0,0,90,360,0.58198047,0.58198047,0.59888154,0.60526174,0.60504007,0.60205597,0.5986191
7.3,0,-7.3,28.52,0,-28.52,135,360,0.58507043,0.58507043,0.58594412,0.5775317,0.56429905,0.54991388,0.53632218
0,0,-4.74,0,0,-34.74,180,360,0.54616308,0.54616308,0.52551317,0.49994251,0.47454152,0.45197582,0.43286052
