51,53,52,53,53,51,54,54,54,54,54,53,52,54,50,54,54,51,55,50,51,51,52,54,53,52,52,54,49,50,53,53,52,52,53,53,51,52,54,53,51,52,50,50,52,54,53,51,53,54,52,51,53,52,53,49,54,54,52,50,50,53,53,52,55,52,54,54,53,52,51,52,53,53,54,52,54,54,52,53,53,53,53,53,51,52,52,52,52,53,52,51,51,52,53,53,53,52,55,54
53,55,54,53,54,53,56,52,52,53,53,52,53,53,54,53,52,55,54,52,53,53,52,53,52,56,51,55,53,52,52,53,54,55,53,54,54,55,52,54,52,53,53,51,51,53,56,53,51,55,53,54,51,54,52,53,52,52,53,54,50,53,51,51,51,53,53,50,52,56,50,54,54,52,53,54,53,54,53,53,53,54,54,54,54,54,51,54,50,54,53,53,52,52,53,53,53,53,52,53
55,53,53,54,53,53,50,51,53,52,54,52,55,53,51,48,54,55,53,52,53,52,54,55,54,52,51,53,55,53,57,53,53,54,57,54,53,48,53,53,51,53,50,51,52,53,49,54,52,54,53,56,53,54,52,54,52,55,55,54,52,50,52,51,52,52,53,51,54,52,52,50,54,53,54,55,53,52,54,55,52,52,52,54,54,53,53,50,52,54,51,52,53,51,53,55,55,50,50,54
53,54,52,54,54,55,54,52,53,51,53,52,53,52,53,48,54,53,52,54,54,53,54,49,57,54,53,55,57,52,54,53,54,50,54,54,55,48,52,50,54,51,51,55,52,54,50,54,54,52,52,55,52,54,51,51,52,50,54,56,54,55,52,50,50,53,52,50,49,52,56,48,54,54,54,55,52,51,52,53,52,53,54,53,52,52,50,53,56,53,52,54,50,53,53,53,52,52,51,52
54,54,55,52,52,52,49,53,53,52,52,51,53,51,54,49,53,49,54,53,52,53,50,54,55,50,49,56,53,51,53,51,55,49,49,52,54,48,51,52,52,51,50,54,53,52,50,52,54,49,53,55,54,53,50,54,55,48,55,57,51,54,50,53,52,50,52,51,52,51,53,49,51,52,54,55,51,51,53,52,50,51,54,54,53,50,53,54,55,54,52,51,53,51,54,51,51,51,52,49
55,53,55,51,51,52,46,53,52,51,50,50,50,50,55,49,55,49,52,54,53,57,51,54,54,51,50,54,54,54,53,52,55,51,52,52,55,52,53,50,51,53,49,54,53,51,51,54,54,50,51,54,53,49,47,55,53,50,50,56,54,51,52,53,52,50,53,50,53,51,54,52,52,53,53,53,47,55,53,53,48,52,53,55,53,52,51,49,51,52,53,51,53,53,53,51,52,51,51,49
57,52,54,49,52,51,51,50,52,52,52,51,53,55,53,50,53,49,51,55,53,55,51,55,54,51,49,54,52,54,53,51,53,51,51,52,54,49,49,53,53,51,51,53,53,50,50,52,55,49,54,52,50,49,46,52,55,50,50,54,53,51,51,52,52,52,53,51,52,51,54,48,52,49,52,54,47,55,53,57,51,53,54,54,50,53,52,49,51,50,50,53,53,56,55,50,53,52,49,50
54,52,53,49,55,52,48,50,51,51,48,47,53,53,51,46,52,47,49,51,51,55,52,52,54,51,51,55,52,51,51,55,54,50,52,53,55,51,49,53,51,50,52,53,53,51,51,49,54,49,52,50,51,50,50,52,52,47,51,52,55,51,50,51,51,49,51,49,50,50,52,51,51,49,54,52,51,53,52,52,48,55,53,51,51,51,53,51,50,50,50,52,52,54,54,48,49,53,50,48
54,50,53,54,56,52,49,48,54,52,49,49,50,50,52,45,50,50,51,50,54,56,53,52,51,50,52,55,52,52,52,54,52,51,51,52,54,50,50,48,50,52,51,50,51,50,51,51,54,48,51,53,51,50,51,50,50,52,50,51,53,50,52,55,51,48,50,49,47,50,51,50,52,50,49,52,54,56,53,51,51,55,52,54,54,54,53,50,51,50,53,51,47,57,54,49,48,50,51,48
55,52,54,53,55,52,49,49,52,52,49,49,52,51,52,47,52,52,48,48,56,52,51,51,51,48,51,49,52,52,53,52,52,51,51,53,54,54,48,50,52,51,51,52,52,52,49,47,56,47,55,53,51,51,57,53,48,50,48,52,56,50,54,56,52,51,53,53,52,50,53,51,52,53,50,53,54,55,54,50,52,55,53,51,52,51,55,50,50,47,52,51,51,53,53,48,48,55,51,48
52,54,55,55,55,50,48,49,53,51,51,47,49,49,51,47,53,52,51,46,58,51,51,50,53,50,50,53,51,53,55,53,49,55,51,52,52,50,46,48,52,54,51,53,53,55,51,48,54,47,51,53,53,50,57,52,49,50,49,48,55,50,52,57,51,51,49,52,53,51,48,52,50,54,52,54,56,55,56,51,55,52,54,55,52,50,55,50,52,49,51,52,51,52,51,50,49,52,55,48
52,52,57,56,55,52,48,50,51,52,49,47,52,51,55,47,53,50,51,51,60,52,49,48,53,50,54,51,52,54,50,51,51,56,50,51,51,55,47,47,51,53,51,50,52,57,51,45,50,49,51,50,52,50,57,51,48,51,50,48,53,51,50,55,51,52,51,56,51,49,46,53,50,56,51,54,57,52,59,51,54,54,52,57,51,51,55,47,54,50,50,50,50,51,52,54,48,53,59,50
50,55,58,54,54,51,50,51,49,53,49,47,52,55,54,47,51,50,49,50,59,51,50,47,49,50,55,46,50,54,51,50,45,56,51,51,50,54,48,45,45,53,52,50,53,58,50,50,51,49,51,51,51,49,57,50,48,48,49,48,54,52,50,55,50,52,50,57,53,51,44,56,48,59,49,53,56,50,62,51,60,53,50,52,52,53,54,46,53,52,50,51,51,50,52,50,49,51,55,50
53,54,59,55,55,46,50,53,49,54,49,47,50,53,51,47,52,50,49,51,60,46,51,50,53,51,54,47,51,51,51,50,47,56,49,50,47,53,44,47,47,53,53,51,53,60,50,51,53,48,49,49,52,49,57,51,49,49,49,50,51,55,51,53,53,55,51,57,54,52,47,56,49,60,48,48,62,51,61,51,58,52,49,52,53,52,53,47,52,51,51,50,51,49,53,47,48,51,62,52
54,54,62,53,55,47,53,53,49,53,53,50,52,56,49,49,55,54,50,49,63,47,52,52,51,54,55,45,50,50,51,50,47,59,51,52,50,56,47,51,48,53,53,49,53,58,47,51,53,48,53,50,51,51,58,54,46,48,49,51,52,53,51,51,53,56,53,55,53,53,45,59,52,60,47,50,61,49,61,52,58,52,48,51,53,52,55,47,51,51,54,52,48,46,56,51,47,52,62,54
51,53,60,59,52,46,51,50,50,51,50,52,49,58,49,50,54,54,50,48,64,47,54,52,51,56,58,45,52,50,49,50,44,58,50,52,47,59,50,49,47,54,54,49,54,62,50,54,50,49,50,49,52,53,60,50,47,51,55,50,50,55,51,51,55,56,53,57,54,55,45,59,54,62,48,48,59,50,63,49,58,50,48,52,54,53,58,50,51,53,55,51,49,47,56,47,45,51,63,57
53,54,58,59,52,49,51,51,50,51,49,57,50,52,51,51,54,58,51,51,64,45,55,57,54,56,57,47,54,49,50,50,48,61,52,50,47,58,48,53,46,51,55,51,52,66,54,55,52,46,52,54,52,58,60,50,50,56,56,50,52,57,50,51,53,59,48,58,57,52,51,60,54,61,50,51,64,49,63,47,58,52,49,54,57,53,58,52,56,53,56,51,52,48,56,47,48,52,63,58
52,50,63,60,53,49,56,51,50,53,45,57,49,57,51,53,53,56,54,52,65,46,55,58,53,56,59,46,55,52,49,51,49,61,54,52,48,56,48,49,46,49,56,50,47,66,55,56,49,48,52,52,50,57,63,47,53,55,60,51,51,57,51,51,60,58,54,57,56,56,51,61,58,63,49,50,64,53,62,48,58,49,51,55,57,52,62,54,55,54,57,51,49,49,59,51,47,53,67,60
51,51,64,59,52,52,61,50,51,51,53,55,51,56,50,53,56,54,56,57,64,46,55,59,56,58,58,44,58,54,50,55,49,58,52,49,47,59,50,53,46,53,57,49,47,63,54,54,50,48,52,54,52,57,62,43,56,58,58,49,53,58,53,51,60,60,54,55,55,59,50,59,57,62,50,53,66,50,66,49,59,50,54,54,56,51,64,55,52,56,57,53,50,48,58,51,49,58,65,60
48,55,62,59,49,51,62,48,53,50,56,62,53,56,52,54,56,55,59,60,61,43,55,60,55,58,61,47,60,54,52,54,49,63,56,48,49,57,52,48,48,52,59,47,49,62,58,57,50,48,54,55,52,59,62,48,58,57,60,50,52,60,57,52,59,61,54,53,50,60,49,62,56,62,52,51,64,50,66,48,58,48,56,54,56,49,68,56,50,55,56,54,50,47,62,55,49,56,65,58
50,52,64,61,47,51,62,46,53,49,57,59,51,56,53,53,56,57,57,57,61,46,59,59,59,52,59,46,60,53,54,55,53,66,57,54,47,60,54,50,49,54,60,50,49,66,59,57,48,48,54,57,52,57,62,48,55,56,61,50,54,63,55,52,59,62,57,54,48,59,50,63,57,62,50,51,64,50,67,48,59,45,56,57,60,49,73,59,51,56,57,55,50,46,62,55,49,58,61,60
