x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,0,6.09,0,0,36.09,0,0,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
3.1,0,3.1,24.32,0,24.32,45,0,0.54872966,0.55364406,0.55678707,0.5504303,0.53971946,0.52834868,0.51803684
6.09,0,0,36.09,0,0,90,0,0.57648426,0.5852713,0.59855705,0.60182196,0.59950298,0.59527081,0.59108543
15.52,0,-15.52,36.73,0,-36.73,135,0,0.36160356,0.36980569,0.37825868,0.37265182,0.35921901,0.34337184,0.32814682
0,0,-6.09,0,0,-36.09,180,0,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,45,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
2.22,2.22,3.14,17.22,17.22,24.35,45,45,0.5282324,0.5307259,0.52774596,0.51584357,0.50049889,0.48533526,0.4718709
3.56,3.56,0,24.77,24.77,0,90,45,0.56057686,0.56421542,0.56421173,0.55479622,0.54109663,0.52678561,0.51357394
4,4,-5.66,19,19,-26.88,135,45,0.60088962,0.60076416,0.59288818,0.57776207,0.55997139,0.54257733,0.5268786
0,0,-6.09,0,0,-36.09,180,45,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,90,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
0,3.56,3.56,0,24.77,24.77,45,90,0.56029099,0.55726206,0.54267395,0.52273923,0.50231212,0.48394042,0.46828794
0,4.39,0,0,34.39,0,90,90,0.53392863,0.52887154,0.50911796,0.48440611,0.45995677,0.43835476,0.42013261
0,3.56,-3.56,0,24.77,-24.77,135,90,0.5486114,0.54233199,0.52011311,0.49357072,0.46767467,0.44485065,0.42555436
0,0,-6.09,0,0,-36.09,180,90,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,135,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
-4,4,5.66,-19,19,26.88,45,135,0.59003985,0.58209145,0.55854326,0.53399581,0.51188141,0.4933196,0.47806776
-3.56,3.56,0,-24.77,24.77,0,90,135,0.55268174,0.54103613,0.50920707,0.47822008,0.45142886,0.42949554,0.41172594
-2.22,2.22,-3.14,-17.22,17.22,-24.35,135,135,0.53001648,0.51873636,0.48662183,0.45408636,0.42521474,0.401205,0.38159952
0,0,-6.09,0,0,-36.09,180,135,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,180,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
-15.52,0,15.52,-36.73,0,36.73,45,180,0.32407916,0.30730519,0.26477882,0.2268189,0.1963346,0.17297526,0.15515694
-6.09,0,0,-36.09,0,0,90,180,0.52629942,0.51082069,0.47227213,0.43800426,0.41005275,0.38795933,0.3703967
-3.1,0,-3.1,-24.32,0,-24.32,135,180,0.5528627,0.54040587,0.50661445,0.47373939,0.44517073,0.42160875,0.40236759
0,0,-6.09,0,0,-36.09,180,180,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,225,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
-4,-4,5.66,-19,-19,26.88,45,225,0.57177514,0.56351191,0.5390662,0.51362622,0.49074516,0.47157201,0.45584434
-3.56,-3.56,0,-24.77,-24.77,0,90,225,0.55481815,0.543414,0.51216078,0.48165083,0.45521018,0.43351346,0.41589251
-2.22,-2.22,-3.14,-17.22,-17.22,-24.35,135,225,0.54600275,0.53503066,0.50384474,0.47227633,0.44425419,0.42092508,0.40184417
0,0,-6.09,0,0,-36.09,180,225,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,270,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
