x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,0,4.39,0,0,34.39,0,0,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
4.3,0,4.3,25.52,0,25.52,45,0,0.52937353,0.53917015,0.55851805,0.56730992,0.56550276,0.5572024,0.5460251
21.95,0,0,51.95,0,0,90,0,0.26201102,0.27949631,0.32318652,0.36026195,0.38492978,0.39834398,0.40450507
4.3,0,-4.3,25.52,0,-25.52,135,0,0.52404225,0.53375256,0.55286068,0.56135231,0.55922633,0.55060875,0.53914958
0,0,-4.39,0,0,-34.39,180,0,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,45,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
2.52,2.52,3.56,17.52,17.52,24.77,45,45,0.52444905,0.53287077,0.54748094,0.55036193,0.54282427,0.52967733,0.5146637
4.3,4.3,0,25.52,25.52,0,90,45,0.51980311,0.52975625,0.54934931,0.55812645,0.55608076,0.54744363,0.53590405
2.52,2.52,-3.56,17.52,17.52,-24.77,135,45,0.54343796,0.55129623,0.56479865,0.56715673,0.55967575,0.5469265,0.53248048
0,0,-4.39,0,0,-34.39,180,45,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,90,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
0,3.1,3.1,0,24.32,24.32,45,90,0.52449894,0.52909756,0.5325107,0.52372122,0.50646675,0.48622561,0.46645153
0,4.39,0,0,34.39,0,90,90,0.52352118,0.52834046,0.53233093,0.52403444,0.50700194,0.48676649,0.46682471
0,3.1,-3.1,0,24.32,-24.32,135,90,0.55499196,0.55956662,0.56343895,0.55573165,0.53976786,0.5207597,0.5019961
0,0,-4.39,0,0,-34.39,180,90,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,135,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
-2.52,2.52,3.56,-17.52,17.52,24.77,45,135,0.52134842,0.52197409,0.51467162,0.49571657,0.4704214,0.44461429,0.42123783
-4.3,4.3,0,-25.52,25.52,0,90,135,0.56949562,0.56816185,0.55669391,0.53511137,0.50856197,0.4825066,0.45937413
-2.52,2.52,-3.56,-17.52,17.52,-24.77,135,135,0.58530855,0.58536309,0.57778138,0.56021887,0.53736275,0.51430941,0.49354795
0,0,-4.39,0,0,-34.39,180,135,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,180,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
-4.3,0,4.3,-25.52,0,25.52,45,180,0.59361446,0.59222209,0.58113772,0.56069255,0.53575212,0.51140499,0.48987976
-21.95,0,0,-51.95,0,0,90,180,0.40573114,0.39195132,0.34854251,0.29864171,0.25174764,0.21353148,0.18434985
-4.3,0,-4.3,-25.52,0,-25.52,135,180,0.58763468,0.58606273,0.57441878,0.55336213,0.52791011,0.50322032,0.48150539
0,0,-4.39,0,0,-34.39,180,180,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,225,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
-2.52,-2.52,3.56,-17.52,-17.52,24.77,45,225,0.54169661,0.54235995,0.535505,0.51742572,0.49316359,0.46836525,0.44587019
-4.3,-4.3,0,-25.52,-25.52,0,90,225,0.58360928,0.58210403,0.57051575,0.54932004,0.52356464,0.49850002,0.47639942
-2.52,-2.52,-3.56,-17.52,-17.52,-24.77,135,225,0.56231451,0.56301236,0.55667591,0.53966486,0.51672399,0.49325004,0.4719336
